LungeI,timeoflunge,depth,suncycle,MO,MC,purge1,purge2,purge3,lungecat,datetime
74827,10:55:45,109.796840658108,1,74851,74894,74,107.9,170.4,100,2017-08-13 10:55:45.600
91874,11:24:10,110.211146514988,1,91877,91911,87.7,105.2,108.2,100,2017-08-13 11:24:10.300
93047,11:26:07,107.424220067523,1,93071,93101,92.4,108.9,128.7,100,2017-08-13 11:26:07.600
94457,11:28:28,103.484682595287,1,94484,94521,76,86.7,107.5,115,2017-08-13 11:28:28.600
98185,11:34:41,96.9578759628433,1,98209,98242,94.1,130.4,137.2,115,2017-08-13 11:34:41.400
99666,11:37:09,98.7592274415721,1,99663,99706,84.7,100.2,106.6,100,2017-08-13 11:37:09.500
100840,11:39:06,103.664206314681,1,100864,100911,96.1,105.5,138.4,115,2017-08-13 11:39:06.900
104289,11:44:51,104.39110140921,1,104302,104339,98.2,110.6,115.3,100,2017-08-13 11:44:51.800
105533,11:46:56,104.455793679827,1,105536,105573,88.8,108.9,122.1,100,2017-08-13 11:46:56.200
106848,11:49:07,102.641782505624,1,106851,106892,81,101.8,119,100,2017-08-13 11:49:07.700
108122,11:51:15,101.423992178788,1,108119,108159,84.4,106.9,143.5,115,2017-08-13 11:51:15.100
111303,11:56:33,100.620512769329,1,111306,111333,90.4,102.5,109.9,100,2017-08-13 11:56:33.200
112472,11:58:30,100.225866068935,1,112479,112516,85.3,119.6,127,100,2017-08-13 11:58:30.100
113870,12:00:49,99.1656814219281,1,113880,113907,90.1,114.6,152.9,115,2017-08-13 12:00:49.900
117164,12:06:19,97.7999211805892,1,117174,117208,82.7,128.7,136.1,100,2017-08-13 12:06:19.300
118603,12:08:43,98.2465166254944,1,118640,118664,65.8,80.6,86.3,100,2017-08-13 12:08:43.200
119622,12:10:25,98.9762041598834,1,119619,119679,95.5,103.5,129.8,100,2017-08-13 12:10:25.100
123174,12:16:20,99.4417442414429,1,123211,123245,77.9,92.7,103.5,100,2017-08-13 12:16:20.300
124320,12:18:14,99.7465477517144,1,124327,124370,91.8,114,140.9,100,2017-08-13 12:18:14.900
125791,12:20:42,97.0606023364741,1,125821,125848,88.1,103.9,115.6,100,2017-08-13 12:20:42.000
127071,12:22:50,97.9282911575877,1,127081,127111,95.2,101.5,129.1,115,2017-08-13 12:22:50.000
131062,12:29:29,99.4630707049649,1,131086,131126,95.4,102.5,125,100,2017-08-13 12:29:29.100
132444,12:31:47,97.6232417397655,1,132447,132474,94.5,107.3,121,100,2017-08-13 12:31:47.300
133730,12:33:55,99.2038532472852,1,133733,133767,104.9,106.9,134.1,115,2017-08-13 12:33:55.900
136911,12:39:14,98.9906185763772,1,136911,136955,94.1,118.3,128.4,100,2017-08-13 12:39:14.000
138326,12:41:35,99.4109376726347,1,138329,138356,92.5,119,196.3,100,2017-08-13 12:41:35.500
143349,12:49:57,43.7311472577923,1,143369,143410,28.5,46.3,72.6,115,2017-08-13 12:49:57.800
168472,13:31:50,188.222644346869,1,168475,168516,79,130.7,171.1,115,2017-08-13 13:31:50.100
190813,14:09:04,152.467243160531,1,190816,190857,83.3,98.5,190.9,115,2017-08-13 14:09:04.200
326852,17:55:48,129.073064463354,1,326855,326886,107.5,116.6,132.7,100,2017-08-13 17:55:48.100
328250,17:58:07,135.658869568926,1,328267,328297,80.3,94.5,169.4,115,2017-08-13 17:58:07.900
332219,18:04:44,123.439429200572,1,332219,332266,59.8,90.4,111.9,100,2017-08-13 18:04:44.800
333484,18:06:51,127.292296136247,1,333481,333528,90.1,109.9,140.1,100,2017-08-13 18:06:51.300
334979,18:09:20,134.094254073919,1,334979,335016,89.4,99.8,116.3,115,2017-08-13 18:09:20.800
338513,18:15:14,132.033553730813,1,338516,338553,52.1,108.9,125.7,100,2017-08-13 18:15:14.200
339846,18:17:27,130.022115563535,1,339876,339917,71.6,103.2,131.4,100,2017-08-13 18:17:27.500
341317,18:19:54,132.876082036458,1,341314,341364,86.4,97.1,129.8,100,2017-08-13 18:19:54.600
342710,18:22:13,133.958383907477,1,342734,342771,79.3,91.7,104.8,115,2017-08-13 18:22:13.900
346164,18:27:59,128.059541245491,1,346167,346208,84.7,105.2,115.6,100,2017-08-13 18:27:59.300
347402,18:30:03,115.179752346689,1,347405,347449,47.4,88.7,133.5,115,2017-08-13 18:30:03.100
350820,18:35:44,138.74261878706,1,350837,350864,74.6,106.5,126.4,100,2017-08-13 18:35:44.900
352157,18:37:58,133.378581714969,1,352160,352194,96.1,108.6,117,115,2017-08-13 18:37:58.600
355283,18:43:11,133.054130312686,1,355280,355317,79.3,103.2,112.9,100,2017-08-13 18:43:11.200
356467,18:45:09,134.744737015143,1,356494,356531,78,106.9,133.1,100,2017-08-13 18:45:09.600
357946,18:47:37,129.454431817188,1,357973,358000,77.6,99.5,102.8,100,2017-08-13 18:47:37.500
359125,18:49:35,137.479572620554,1,359125,359175,88.8,102.6,154.3,100,2017-08-13 18:49:35.400
360788,18:52:21,126.430691636063,1,360785,360818,79.4,129.1,162.4,115,2017-08-13 18:52:21.700
372466,19:11:49,104.648492921883,1,372486,372516,96.2,116.7,134.2,100,2017-08-13 19:11:49.500
373914,19:14:14,113.690073919006,1,373934,373981,98.5,122.7,159,115,2017-08-13 19:14:14.300
379190,19:23:01,115.525260695344,1,379220,379251,74.2,115.2,123.3,100,2017-08-13 19:23:01.900
380536,19:25:16,126.328426902027,1,380563,380597,74.2,97.1,106.5,100,2017-08-13 19:25:16.500
381784,19:27:21,111.561042403016,1,381781,381821,94.8,106.2,135.1,115,2017-08-13 19:27:21.300
